,coachella_sentiment,text,polarity,clean_text
19,positive,"April can't come any sooner _Ù÷__Ù÷__Ù÷_ 

#Coachella2015",2,April can't come any sooner Coachella
20,positive,Woot woot! #Coachella2015 _Ù_ä_Ù_ä,2,Woot woot! Coachella
21,positive,"#coachella2015  What's the fuss about AC/DC heading the line-up? Leonard Cohen blew everyone away there a couple of years back, both great!",2,coachella What's the fuss about AC DC heading the line up? Leonard Cohen blew everyone away there a couple of years back both great!
22,positive,RT @TeamCamillaB: Hope to see @CamillaBelle in Coachella #Coachella2015!,2,Hope to see in Coachella Coachella !
23,positive,Prayer to #Coachella gods for #Coachella2015 #Coachellatickets someone sell me weekend 1 for face value please. Car camping too! Amen,2,Prayer to Coachella gods for Coachella Coachellatickets someone sell me weekend for face value please. Car camping too! Amen
24,positive,I see @nlapi is ready for #Coachella2015 #coachellaNICK,2,I see is ready for Coachella coachellaNICK
25,positive,Young DroCHELLA | #Coachella #Coachella2015 http://t.co/X0tIMlrjSH,2,Young DroCHELLA Coachella Coachella
26,positive,Got my tickets for #Coachella2015 stoked as fuck,2,Got my tickets for Coachella stoked as fuck
27,positive,"I can't wait for ""and you shook me all night long"" at #Coachella2015",2,I can't wait for and you shook me all night long at Coachella
28,positive,So HAPPY to announce that me and @NicolaBott have twins!!!! (tickets) #Coachella2015 http://t.co/83miyTqiff,2,So HAPPY to announce that me and have twins!!!! tickets Coachella
29,positive,Super pumped for ACDC and Steely Dan #kickinitoldschoool #Coachella2015,2,Super pumped for ACDC and Steely Dan kickinitoldschoool Coachella
30,positive,Just got news we're going to #Coachella2015,2,Just got news we're going to Coachella
31,positive,LOL NVM YA BISH IS GOING TO #COACHELLA2015 #HALLELUJAH!!! http://t.co/kcLTkfhiiN,2,LOL NVM YA BISH IS GOING TO COACHELLA HALLELUJAH!!!
32,positive,"If I got a #Coachella2015 ticket, how much better does that make me than you? #KingOfTheWhitePeople",2,If I got a Coachella ticket how much better does that make me than you? KingOfTheWhitePeople
33,positive,"I just got a casual text from my dad asking a simple question w/ an emoji ""what weekend were you thinking _Ù÷÷"" #Coachella2015åÀåÀåÀ @maderlife _ÙÕÄ",2,I just got a casual text from my dad asking a simple question w an emoji what weekend were you thinking Coachella
34,positive,When you find out Coachella is in 3 months are your getting ready to find celebrities #Coachella2015 _ÙÎ_,2,When you find out Coachella is in months are your getting ready to find celebrities Coachella
35,positive,ITS OFFICIAL @nycbritt #Coachella2015   _ÙÕÝ_Ù_äÏ¬÷Ûü_ÙÔª_Ù_¦,2,ITS OFFICIAL Coachella
36,positive,Just realized I'm off of work for #Coachella2015 weekend #2. I'M TOTALLY GOING!,2,Just realized I'm off of work for Coachella weekend . I'M TOTALLY GOING!
37,positive,"ÛÏ@czechmayte: @Leetzle_ and I have our #Coachella2015 tickets... But now we need a place to camp bc tickets are sold out. Help us _Ù÷__Ù÷_Û

PLZZZ",2,and I have our Coachella tickets... But now we need a place to camp bc tickets are sold out. Help us PLZZZ
38,positive,RT @_kendallwood: The #Coachella2015 lineup from @CTooleSaysStuff is so colorful and honest: http://t.co/VVhQLmWzWu via @EliteDaily,2,The Coachella lineup from is so colorful and honest via
39,positive,@Leetzle_ and I have our #Coachella2015 tickets... But now we need a place to camp bc tickets are sold out. Help us _Ù÷__Ù÷_,2,and I have our Coachella tickets... But now we need a place to camp bc tickets are sold out. Help us
40,positive,RT @sierralkbabe: So psyched for #Coachella2015 with @HannahhRay _Ù÷,2,So psyched for Coachella with
41,positive,RT @Jammit08: See in the dessert @Kyra_IX @sammyslammr !!!!!! #Coachella2015 #RoundThree #Excited #ItsAllHappening,2,See in the dessert !!!!!! Coachella RoundThree Excited ItsAllHappening
42,positive,Can't wait for #Coachella2015  _ÙÔÉ_ÙÎÛ_ÙÔÉ,2,Can't wait for Coachella
43,positive,The #Coachella2015 lineup from @CTooleSaysStuff is so colorful and honest: http://t.co/VVhQLmWzWu via @EliteDaily,2,The Coachella lineup from is so colorful and honest via
44,positive,I need to go to #Coachella2015,2,I need to go to Coachella
45,positive,"Someone sell me one car camping pass for Coachella weekend 2, please. #Coachella #Coachella2015 #Coachellatickets",2,Someone sell me one car camping pass for Coachella weekend please. Coachella Coachella Coachellatickets
46,positive,Don't wanna jinx it but I have an Instagram agreement for my Coachella trade! :-) #coachella2015 #instatrade,2,Don't wanna jinx it but I have an Instagram agreement for my Coachella trade! coachella instatrade
47,positive,Your girl is going to #Coachella2015 _Ù÷È,2,Your girl is going to Coachella
48,positive,RT @MaxG718: the LATEST #Coachella2015 lineup is too poppin' http://t.co/HsQSggoomc http://t.co/yBIbpxnsdm,2,the LATEST Coachella lineup is too poppin'
49,positive,Putting it in my plans to go see my boo @Drake at #Coachella2015,2,Putting it in my plans to go see my boo at Coachella
50,positive,RT @zzzach_scott: See you in 99 days #Coachella2015 @hannah_frog http://t.co/dib4iCsyWh,2,See you in days Coachella
51,positive,Got my weekend 2 pass for #coachella2015.  Pumped to be marking this #music festival off myÛ_ http://t.co/kkx94sYJV0,2,Got my weekend pass for coachella . Pumped to be marking this music festival off my
52,positive,Still trying to find tickets for #Coachella2015 so hmu if you're selling!,2,Still trying to find tickets for Coachella so hmu if you're selling!
53,positive,"@RMSpuhler @mimi3000 @meiwen_liang You've been quoted in my #Storify story ""#Coachella2015 tickets sold out"" http://t.co/QP4TZWCIxL",2,You've been quoted in my Storify story Coachella tickets sold out
54,positive,"If anyone has an extra Car Camping ticket, hit me up, our group needs one! #Coachella #Coachella2015 #Coachellatickets",2,If anyone has an extra Car Camping ticket hit me up our group needs one! Coachella Coachella Coachellatickets
55,positive,RT @Modelinia: The #Coachella2015 lineup has arrived! Here are 10 acts you MUST see at this year's festival: http://t.co/IWzxoxfiHj http://Û_,2,The Coachella lineup has arrived! Here are acts you MUST see at this year's festival
56,positive,RT @OurFemaleRebel: Miley's getting ready for #Coachella2015 Bleach Blonde it is             _ÙÕà_ÙÕÉ_ÙÔ± http://t.co/k1MvQpRJyL,2,Miley's getting ready for Coachella Bleach Blonde it is
57,positive,RT @JSterns7: Looking to buy a weekend one @coachella pass #coachella #Coachella2015 @TexasEDMFamily,2,Looking to buy a weekend one pass coachella Coachella
58,positive,I regret buying #EDCLV tickets... I want to go to Coachella so so bad!!!! _Ù÷__Ù÷__Ù÷_ who wants two edc tickets!?! #insomniac #Coachella2015 _ÙÕÐ_ÙÕÐ_ÙÕÐ_Ùª,2,I regret buying EDCLV tickets... I want to go to Coachella so so bad!!!! who wants two edc tickets!?! insomniac Coachella
59,positive,Weekend 2 baby #Coachella2015 #wk2 #,2,Weekend baby Coachella wk
60,positive,#Coachella2015 week two YAAAAASSSSSSSS!!!! @xMusicalCells _ÙÎÈ_ÙÎÈ_Ù÷_Ù÷_Ù÷_Ù÷_Ù÷Ý_Ù÷Ý_Ù÷Ý_Ù÷,2,Coachella week two YAAAAASSSSSSSS!!!!
61,positive,See in the dessert @Kyra_IX @sammyslammr !!!!!! #Coachella2015 #RoundThree #Excited #ItsAllHappening,2,See in the dessert !!!!!! Coachella RoundThree Excited ItsAllHappening
62,positive,RT @sleazystfn: Guess is who is gonna wiggle wiggle at coachella! @chHELLOVENUS #Coachella2015 #Coachella #kpop #hellovenus http://t.co/19XÛ_,2,Guess is who is gonna wiggle wiggle at coachella! Coachella Coachella kpop hellovenus
63,positive,See y'all at Coachella _Ù÷÷ #Coachella2015,2,See y'all at Coachella Coachella
64,positive,RT @heyittsdreah: @_Kellavilla Soon _ÙÕ¥_ÙÎ«Ý¼_Ù_Á #Coachella2015,2,Soon Coachella
65,positive,Two words you never want to see...#Coachella2015 http://t.co/ziAviNDVfD,2,Two words you never want to see... Coachella
66,positive,RT @booyouwhores: so yeah IÛªm looking for a weekend 1 coachella ticket! please RT to help me find one thanks #Coachella2015 #coachellaforsaÛ_,2,so yeah Im looking for a weekend coachella ticket! please to help me find one thanks Coachella coachellaforsa
67,positive,"looking for two GA #Coachella #Coachella2015 tickets + car camping
#crychella2k15",2,looking for two GA Coachella Coachella tickets car camping crychella k
68,positive,So #Coachella2015 is actually happening_Ùª,2,So Coachella is actually happening
69,positive,"RT @allison_huntley: Okay, here I fixed it #FifthHarmony #Coachella #Coachella2015 http://t.co/3tnGJqhqKt",2,Okay here I fixed it FifthHarmony Coachella Coachella
70,positive,"RT @elithekidd: Looking for #coachella2015 passes 
Ï¬Someone be my savior please Ï¬",2,Looking for coachella passes Someone be my savior please
71,positive,RT @nick_thaAnimal: If it comes down to it I'll go James Bond mode #Coachella2015,2,If it comes down to it I'll go James Bond mode Coachella
72,positive,I'm ready for #Coachella2015,2,I'm ready for Coachella
73,positive,See y'all @ #Coachella2015 _Ù÷__Ù_¦ http://t.co/JJwPyNsetu,2,See y'all Coachella
74,positive,"Looking for #coachella2015 passes 
Ï¬Someone be my savior please Ï¬",2,Looking for coachella passes Someone be my savior please
75,positive,"I want to write an essay, but I won't. #Coachella2015 http://t.co/tQERsD99BZ",2,I want to write an essay but I won't. Coachella
76,positive,@PK_Ike: Looking to buy a coachella car camping pass for weekend 2! Hmu #COACHELLA #Coachella2015 #carcamping,2,Looking to buy a coachella car camping pass for weekend ! Hmu COACHELLA Coachella carcamping
77,positive,So want to go to #Coachella2015  especially with @Drake and @FKAtwigs announced!,2,So want to go to Coachella especially with and announced!
78,positive,#Coachella2015 Whoa! The Weeknd &amp; Drake performing!!,2,Coachella Whoa! The Weeknd amp Drake performing!!
79,positive,"Dig these guys much! Can't wait to see them at #Coachella2015!
Two dudes creating incredible sounds.
@royalblooduk 
https://t.co/3tjZwbarUA",2,Dig these guys much! Can't wait to see them at Coachella ! Two dudes creating incredible sounds.
80,positive,got my #Coachella2015 Weekend 2 tickets! Can't wait to cross this off my bucket list!,2,got my Coachella Weekend tickets! Can't wait to cross this off my bucket list!
81,positive,FinallyÛ_ #Coachella2015 Week 2 here we come.,2,Finally Coachella Week here we come.
82,positive,COACHELLA I'm coming for ya! _Ù÷_ #coachella2015 #hellyeah http://t.co/U7yqB9kvPu,2,COACHELLA I'm coming for ya! coachella hellyeah
83,positive,RT @kaskade: ÛÏ@Forever21: The lineup is here! #Coachella2015 http://t.co/tNOrBbvUfzÛ Cue the flower headband display front + center!,2,The lineup is here! Coachella Cue the flower headband display front center!
84,positive,IF YOURE SELLING #Coachella2015  WEEK 2 PASS HMU!!!!!!!,2,IF YOURE SELLING Coachella WEEK PASS HMU!!!!!!!
85,positive,RT @MonicaFulmer: FUCK ME DUDE I WANT TO GO SO BADDDDD #Coachella2015 http://t.co/bHIxOJirow,2,FUCK ME DUDE I WANT TO GO SO BADDDDD Coachella
86,positive,ÛÏ@MyDesert: .@coachella festival passes sell out in 38 minutes http://t.co/GyrlxL4JMn #Coachella2015Û @maddiepenaa _ÙÔÛ,2,. festival passes sell out in minutes Coachella
87,positive,Might as well plan ahead for April non? Happy early 40th birthday to moi! From moi! #coachella2015Û_ http://t.co/NczeWEMG48,2,Might as well plan ahead for April non? Happy early th birthday to moi! From moi! coachella
88,positive,All I have to say is thank god for presale &amp; @EricaTabano #Coachella2015,2,All I have to say is thank god for presale amp Coachella
89,positive,I honestly just want to see Steely Dan... #Coachella2015,2,I honestly just want to see Steely Dan... Coachella
90,positive,@katrina0801 @coachella way to start of the new year! #coachella2015,2,way to start of the new year! coachella
91,positive,dreaming of LaLa land with @mattyod tonight @coachella #Coachella2015,2,dreaming of LaLa land with tonight Coachella
92,positive,RT @JamesAppleg8: @Axwell @Ingrosso @SteveAngello  there should be an epic reunion at #Coachella2015,2,there should be an epic reunion at Coachella
93,positive,"Some people vacation in Hawaii every year, some go to Europe, and I choose to poo in a 110F port-a-potty for 4 days. #Coachella2015",2,Some people vacation in Hawaii every year some go to Europe and I choose to poo in a F port a potty for days. Coachella
94,positive,#Coachellatickets sold out in less than 40 mins. Did you get yours? #Coachella2015 @coachella http://t.co/th1y4k3v6y,2,Coachellatickets sold out in less than mins. Did you get yours? Coachella
95,positive,I could cry of happiness _Ù÷©_Ù÷©_Ù÷©_Ù÷©_Ù÷© #Coachella2015,2,I could cry of happiness Coachella
96,positive,Great line up for #Coachella2015 who's going to Coachella this year??,2,Great line up for Coachella who's going to Coachella this year??
97,positive,"Artists that I didn't know that stuck out to me. ""&gt;"" are a must see for me. #Coachella2015 http://t.co/Z9g6iAFQgM",2,Artists that I didn't know that stuck out to me. gt are a must see for me. Coachella
98,positive,@Axwell @Ingrosso @SteveAngello  there should be an epic reunion at #Coachella2015,2,there should be an epic reunion at Coachella
99,positive,RT @koufaxmusic: something for your ears while you wait on the standby page #Coachella #Coachella2015 https://t.co/3vhd4Ckuxf,2,something for your ears while you wait on the standby page Coachella Coachella
100,positive,https://t.co/dot8qgvwDp @zayngos_mangos !!!! #Coachella2015 is calling our names!,2,!!!! Coachella is calling our names!
101,positive,Weekend 1 _Ù÷Ï_Ù_¦ #Coachella2015 #camping,2,Weekend Coachella camping
102,positive,Sold a part of my soul when I purchased my Coachella ticket but I really could care less #Coachella2015 _Ù÷__Ù÷_,2,Sold a part of my soul when I purchased my Coachella ticket but I really could care less Coachella
103,positive,So no one ask me to hang out or do any fun things w them that require money until summer bc #Coachella2015 just left me _Ù÷__ÙÕÛ #brokeaf,2,So no one ask me to hang out or do any fun things w them that require money until summer bc Coachella just left me brokeaf
104,positive,ÛÏ@jaywoodzs: Honestly just got an adrenaline rush from fucking getting my tickets #coachella2015 @caaiiit_Û God bless,2,Honestly just got an adrenaline rush from fucking getting my tickets coachella God bless
105,positive,Just got tickets to #Coachella2015! So freaking excited. Can we just cancel Jan/Feb/Mar and skip straight to April already?!?!,2,Just got tickets to Coachella ! So freaking excited. Can we just cancel Jan Feb Mar and skip straight to April already?!?!
106,positive,Buzzing.... _Ù÷_Ù÷_Ù÷_Ù÷_Ù÷.. Can Not wait For April 17th.. _ÙÕÄ_ÙÔø_ÙÔø_Ù_¤_Ù___Ù__ #Coachella2015,2,Buzzing.... .. Can Not wait For April th.. Coachella
107,positive,One day I will travel to the USA to go to Coachella _Ùà¼_Ùàü #Coachella2015 #MakeItHappen,2,One day I will travel to the USA to go to Coachella Coachella MakeItHappen
108,positive,The worst text you'll ever receive #Coachella2015 http://t.co/KEsCyT4xwU,2,The worst text you'll ever receive Coachella
109,positive,So psyched for #Coachella2015 with @HannahhRay _Ù÷,2,So psyched for Coachella with
110,positive,Wait. #Coachella2015 made me broke _ÙÕü,2,Wait. Coachella made me broke
111,positive,Ya bitches .. #Coachella2015 http://t.co/UvzWoqxujo,2,Ya bitches .. Coachella
112,positive,ÛÏ@PipaVal: Iz happeninnn #Coachella2015 Ï¬ http://t.co/S1aHN99DoQÛ CAN'T WAIT,2,Iz happeninnn Coachella CAN'T WAIT
113,positive,@porterrobinson I BOUGHT MY COACHELLA TICKET TO SEE YOU PERFORM WORLDS LIVE. I gotta hear you sing lionhearted dude! #Worlds #Coachella2015,2,I BOUGHT MY COACHELLA TICKET TO SEE YOU PERFORM WORLDS LIVE. I gotta hear you sing lionhearted dude! Worlds Coachella
114,positive,Tickets are officially booked for Coachella! #STOKED #coachella2015 #happydance http://t.co/KEKnO9Hdoy,2,Tickets are officially booked for Coachella! STOKED coachella happydance
115,positive,"If I don't get #Coachella  tickets, I WILL FUCKING DIE! #Coachella2015",2,If I don't get Coachella tickets I WILL FUCKING DIE! Coachella
116,positive,Well I'm going bananas right now _Ù÷_Ù_Á_ÙÎÉ_Ù_¦ #Coachella2015 http://t.co/Q3ybvSfZJj,2,Well I'm going bananas right now Coachella
117,positive,The new #Coachella line up! Would love to be going!_Ù÷´_Ùà¼_Ùàü_Ùªö #Coachella2015 http://t.co/fyTezrWjYe,2,The new Coachella line up! Would love to be going! Coachella
118,positive,Now I need an airplane ticket and a hotel #Coachella2015,2,Now I need an airplane ticket and a hotel Coachella
119,positive,Ahh 38 mins of staring @the comp screen waiting 2 purchase @coachella tix was worth it from #cantwait #Coachella2015 http://t.co/9XuUlTimuZ,2,Ahh mins of staring comp screen waiting purchase tix was worth it from cantwait Coachella
120,positive,Waited at 12 on the dot for Weekend 1 tickets and they sold out 50 mins later. #sosad #Coachella2015,2,Waited at on the dot for Weekend tickets and they sold out mins later. sosad Coachella
121,positive,"And THAT, my friends, is why you should always take advantage of presale #Coachella2015",2,And THAT my friends is why you should always take advantage of presale Coachella
122,positive,_Ù÷_Let the countdown begin!! brn_3ttt #coachella2015 #FLO #FINALLY @hanabolabolaÛ_ http://t.co/qal0EBwZ8O,2,Let the countdown begin!! brn ttt coachella FLO FINALLY
123,positive,My blood pressure has never been higher #Coachella2015 #ticketprobs,2,My blood pressure has never been higher Coachella ticketprobs
124,positive,take me with youuuuuuu RT @PipaVal: Iz happeninnn #Coachella2015 Ï¬ http://t.co/UWYGvJ9HMs,2,take me with youuuuuuu Iz happeninnn Coachella
125,positive,Thinking about sneaking into #Coachella2015 just to see @MarinasDiamonds perform. _Ù÷ ,2,Thinking about sneaking into Coachella just to see perform.
126,positive,"Hell yea,Norwegian act @toddterjeolsen @ellenwoodEP: so what do you really really think about the lineup for #Coachella2015 ? worth going?Û",2,Hell yea Norwegian act so what do you really really think about the lineup for Coachella ? worth going?
127,positive,I want to go to coachella _Ù÷_ #Coachella2015,2,I want to go to coachella Coachella
128,positive,Iz happeninnn #Coachella2015 Ï¬ http://t.co/P91OiHk9dB,2,Iz happeninnn Coachella
129,positive,lol call me the ticketmaster cause I literally got all my friends through_ÙªÎ #Coachella2015 #chipotle,2,lol call me the ticketmaster cause I literally got all my friends through Coachella chipotle
130,positive,".@coachella passes sold out fast, but you can still get Travel Packages with TICKETS at http://t.co/E5vwXga6a4 #Coachella #Coachella2015",2,. passes sold out fast but you can still get Travel Packages with TICKETS at Coachella Coachella
131,positive,i got my coachella ticket!! VIP doe #Coachella2015 #Coachella2015,2,i got my coachella ticket!! VIP doe Coachella Coachella
132,positive,Conversations with Darlene_Ù÷â #Coachella2015 #Drake #need http://t.co/ITcNJiEYE2,2,Conversations with Darlene Coachella Drake need
133,positive,SOOOOOO EXCITED !!!!!!! #coachella2015 #coachella and we barely decided to go less than 24 hours ago _Ù÷± http://t.co/chYlUj6VxT,2,SOOOOOO EXCITED !!!!!!! coachella coachella and we barely decided to go less than hours ago
134,positive,Weekend One TURN UP #Coachella2015 #BackToBack Ï¬_Ùã_Ù_¦_ÙÎÈ_Ù_Î_ÙÔÉ,2,Weekend One TURN UP Coachella BackToBack
135,positive,MY BODY IS READY! #COACHELLA2015 Ï¬_Ù÷_ http://t.co/Vx95EI0pih,2,MY BODY IS READY! COACHELLA
136,positive,"Holy crap! That didn't take long. RT @TheScenestar SOLD OUT #Coachella #Coachella2015 RT ""@coachella: Thank you. """,2,Holy crap! That didn't take long. SOLD OUT Coachella Coachella Thank you.
137,positive,RT @FrizzyJimz: yeaAAAAAahhhhh got my tickets #coachella2015,2,yeaAAAAAahhhhh got my tickets coachella
138,positive,@Drake can I go with ya :) #Coachella2015,2,can I go with ya Coachella
139,positive,Hehe got my Coachella ticket _Ùª_ #weekend2 #Coachella2015,2,Hehe got my Coachella ticket weekend Coachella
140,positive,Guess where I'll be spending my 21st birthday ÷¼ü_Ù÷__Ù÷_Ù÷_Ù÷_Ù÷ _ÙÕ¥#coachella2015 #21st http://t.co/W4KSa7AB49,2,Guess where I'll be spending my st birthday coachella st
141,positive,#Coachella2015 sold out in the matter of just 30 minutes. Doesn't come as a surprise with that lineup.,2,Coachella sold out in the matter of just minutes. Doesn't come as a surprise with that lineup.
142,positive,"It's official_Ù÷_ÙªÎÏÓü 
#Coachella2015 I'm coming for ya !",2,It's official Coachella I'm coming for ya !
143,positive,RT @Tony_sarandos: @petetong @Alesso @Ingrosso @KygoMusic @kaskade all in one festival! #hype #coachella2015,2,all in one festival! hype coachella
144,positive,It was a tough call but I couldn't live with myself if I missed  AC_ÁüDC  #Coachella2015 #year5,2,It was a tough call but I couldn't live with myself if I missed AC DC Coachella year
145,positive,COACHELLA TICKETS PURCHASED. YAS. #Coachella2015,2,COACHELLA TICKETS PURCHASED. YAS. Coachella
146,positive,Can't wait to dance the days away with these beautiful ladies @AlisaMarieMay @kteeoh #Coachella #Coachella2015,2,Can't wait to dance the days away with these beautiful ladies Coachella Coachella
147,positive,Crazy how fast Coachella sells out _Ù÷ #Coachella2015,2,Crazy how fast Coachella sells out Coachella
148,positive,Aaaaand chellas sold out. Hope all my friends got tickets or im going solo #Coachella2015,2,Aaaaand chellas sold out. Hope all my friends got tickets or im going solo Coachella
149,positive,"literally almost had a mother fuggin heart attack w/ bew getting his ticket.. but zawlll gooood, see you soon #Coachella2015 _Ù÷__ÙÕÇ_Ù___Ù_ü_ÙÎµ",2,literally almost had a mother fuggin heart attack w bew getting his ticket.. but zawlll gooood see you soon Coachella
150,positive,@coachella got me going through some tribulations today. Major heart palpitations man. #lol #Coachella2015 #heartracing #refreshpage #swing,2,got me going through some tribulations today. Major heart palpitations man. lol Coachella heartracing refreshpage swing
151,positive,@coachella will soon have to be two weekends twice a year or three weekends. #coachella2015 #Coachella #ticketprobz _Ù÷©_Ù÷Ç_Ù÷Ç #INEEDTICKETS,2,will soon have to be two weekends twice a year or three weekends. coachella Coachella ticketprobz INEEDTICKETS
152,positive,Round 2 here we come _ÙÎ«_Ù_¦Ý¼ü_ÙÎ_ #Coachella2015 @4realdug _ÙÎü,2,Round here we come Coachella
153,positive,April can't come soon enough! @coachella #Coachella2015 #Weekend2 http://t.co/KPGguQpcs7,2,April can't come soon enough! Coachella Weekend
154,positive,Can't wait for April #Coachella2015 _ÙªÎ_ÙÕ¥_ÙÔø_Ù_ä_Ù__Ùá_Ù_ö,2,Can't wait for April Coachella
155,positive,Trynna but Coachella tickets like #Coachella2015 http://t.co/2ylPhZqEqt,2,Trynna but Coachella tickets like Coachella
156,positive,When weekend 1 is sold out #Coachella2015 http://t.co/8kfc2wlJsA,2,When weekend is sold out Coachella
157,positive,"RT @kaitiecg: Here we go. Looking for Coachella Wknd 2 car camping pass. If you hate the lineup and want to offload, DM me. #Coachella #CoaÛ_",2,Here we go. Looking for Coachella Wknd car camping pass. If you hate the lineup and want to offload DM me. Coachella Coa
158,positive,Ahhhhhhhhh I could burst i'm that excited #Coachella2015 _Ù_ä_Ùª__Ùª__Ù_ä,2,Ahhhhhhhhh I could burst i'm that excited Coachella
159,positive,I got Coachella weekend 1 tickets. No biggie. _Ù÷_ #coachella #Coachella2015 #weekend1 #coachellaweekend1 #hashtagoverload,2,I got Coachella weekend tickets. No biggie. coachella Coachella weekend coachellaweekend hashtagoverload
160,positive,"Wow, #Coachella2015 sold out in 30 minutes _Ù÷_",2,Wow Coachella sold out in minutes
161,positive,The wait is real #Coachella2015,2,The wait is real Coachella
162,positive,It's official now #Coachella2015  here I come!! _Ù÷_ http://t.co/t9oFEdAuhV,2,It's official now Coachella here I come!!
163,positive,Wish I was going to #Coachella2015,2,Wish I was going to Coachella
164,positive,yeaAAAAAahhhhh got my tickets #coachella2015,2,yeaAAAAAahhhhh got my tickets coachella
165,positive,"RT @Bailelicious: Coachella 2015, so hyped _ÙªÎ_ü #Coachella2015 #Weekend2",2,Coachella so hyped Coachella Weekend
166,positive,@MOMOMOYOUTH you Getting love in Russia!! Congrats on #Coachella2015 http://t.co/o2cg00wEjq,2,you Getting love in Russia!! Congrats on Coachella
167,positive,Here goes! #coachella2015 _ÙÎ« http://t.co/dHUc8mTQgp,2,Here goes! coachella
168,positive,"READY, SET, _Ù_Á  #Coachella2015 http://t.co/FpVFPrrdbW",2,READY SET Coachella
169,positive,Even though the prices are an arm and and a leg it's all going to be worth it at the end #Coachella2015,2,Even though the prices are an arm and and a leg it's all going to be worth it at the end Coachella
170,positive,RT @mgblue92: All I need is the Car Camping and I'm set!!! #Coachella2015,2,All I need is the Car Camping and I'm set!!! Coachella
171,positive,UCLA has good wifi #Coachella2015,2,UCLA has good wifi Coachella
172,positive,GOT MY TICKETS TO #Coachella2015 _ÙªÎ_ÙªÎ_ÙªÎ_ÙªÎ_ÙªÎ_ÙªÎ,2,GOT MY TICKETS TO Coachella
